Dataset,freq_spw,Spectrum type,Species,QNs,Frequency (GHz),Velocity (km/s),Eu (K),Comment,Additional comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,CH3OHvt=0-2,"8(3,6)-8(2,7)+-",251.984802,40.9413386,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,CH3OCHOv=0,"31(7,24)-30(8,23)A",252.107954,62.51561388,331.50872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,NH2CHO,"8(2,7)-8(0,8)",253.545519,10.90467998,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,13CH3CH2CN,"29(9,*)-28(9,*)",253.545865,11.31377527,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,"NS,v=0","J=11/2-9/2,&Omega;=1/2,F=13/2-11/2,l=e",253.570406,40.32713363,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,CH3CH2CNv=0,"24(6,19)-24(5,21)",253.586052,58.82153347,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,UnidentifiedTransition,U-251953,251.953,1.675713419,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,NH2CHO,"8(2,7)-8(0,8)",253.545519,11.74853066,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,13CH3CH2CN,"29(9,*)-28(9,*)",253.545865,12.15762479,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,"NS,v=0","J=11/2-9/2,&Omega;=1/2,F=13/2-11/2,l=e",253.570406,41.17090149,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,CH3CH2CNv=0,"24(6,19)-24(5,21)",253.586052,59.66524927,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,252_spw27,max,NO,"J=5/2-3/2,&Omega;=1/2,F=3/2+-3/2-",250.475414,2.803131913,19.23047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,t-CH3CH2OH,"12(2,11)-11(1,10)",250.491558,22.12435865,70.16688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,CH3OHvt=0-2,"11(0,11)-10(1,10)++",250.507016,40.62224303,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
